Kode_Kab;Kabupaten;Provinsi;PE;TPAK;RASIOPUSKES;RASIOSMA;AHH;HLS;RLS;PENG
ID9408;Kepulauan Yapen;Papua;4,84;63,94;,033557;,04878;69,17;12,74;9,47;7491
ID9409;Biak Numfor;Papua;2,19;69,47;,04698;,077236;68,29;14,2;10,34;9607
ID9410;Paniai;Papua;1,65;89,26;,03132;,02439;66,62;10,5;4,77;6377
ID9411;Puncak Jaya;Papua;1,41;91,39;,011186;,00813;65,33;7,49;3,74;5289
ID9412;Mimika;Papua;36,78;64,77;,049217;,069106;72,36;12,69;10,18;11400
ID9413;Boven Digoel;Papua;1,03;79,72;,044743;,01626;60,32;11,08;8,79;7864
ID9414;Mappi;Papua;1,13;61,6;,038031;,02439;65,31;10,79;6,51;6327
ID9415;Asmat;Papua;2,1;81,16;,044743;,01626;58,59;9,3;5,08;5736
ID9416;Yahukimo;Papua;1,9;85,47;,064877;,028455;66,05;7,62;4,27;4895
ID9417;Pegunungan Bintang;Papua;2,58;87,88;,069351;,020325;64,54;6,47;3,04;5429
ID9418;Tolikara;Papua;,96;90,61;,06264;,020325;65,83;8,61;3,65;4841
ID9419;Sarmi;Papua;1,5;68,57;,024609;,01626;66,46;12,29;8,83;6617
ID9420;Keerom;Papua;2,83;76,91;,020134;,03252;66,78;12,43;8,02;8926
ID9426;Waropen;Papua;1,35;56,39;,024609;,01626;66,42;12,8;9,21;6788
ID9427;Supiori;Papua;1,57;68,56;,011186;,028455;66,06;13;8,87;5708
ID9428;Mamberamo Raya;Papua;1,33;66,84;,024609;,020325;58;11,8;5,87;4603
ID9429;Nduga;Papua;2,71;97,93;,029083;,00813;55,43;3,87;1,42;3976
ID9430;Lanny Jaya;Papua;1,82;95,66;,020134;,03252;66,11;8,89;3,43;4393
ID9431;Mamberamo Tengah;Papua;1,48;95,84;,01566;,020325;63,75;9,22;3,33;4487
ID9432;Yalimo;Papua;2,37;93,68;,026846;,020325;65,49;9,32;3,01;4664
ID9433;Puncak;Papua;,72;89,43;,024609;,01626;65,86;5,4;2,16;5412
ID9434;Dogiyai;Papua;1,22;78,2;,020134;,00813;65,85;10,59;4,94;5415
ID9435;Intan Jaya;Papua;1,09;75,75;,004474;,004065;65,69;7,66;3,09;5328
ID9436;Deiyai;Papua;1,27;85,01;,011186;,012195;65,36;9,82;3,25;4673
ID9471;Kota Jayapura;Papua;3,28;63,75;,03132;,101626;70,52;15,02;11,57;14937
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
 ; ; ; ; ; ; ; ; ; ; 
